"Title:","ACT Composite 75th Percentile Score from the Test Scores - Postsecondary Education Database"
"SubTitle:",""
"Time:","2006 - 2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Center for Education Statistics (2022-09-30). Test Scores - Postsecondary Education: ACT Composite 75th Percentile Score, 2006 - 2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  017-022-008 doi:https://doi.org/10.6068/DP1846849F42F39"
"ColumnCount:",18
"RowCount:",2458

"Davidson College - North Carolina",33,33,33,33,33,32,32,33,32,33,32,32,32,31
"The University of Texas at Austin - Texas",33,33,33,33,32,32,32,31,31,31,30,30,28,29
"Brandeis University - Massachusetts",33,33,33,33,33,32,33,32,32,32,32,32,32,33
"United States Air Force Academy - Colorado",33,33,33,32,33,32,32,32,32,32,32,31,32,31
"Scripps College - California",33,33,33,33,32,32,33,32,32,32,32,32,31,30
"Hillsdale College - Michigan",33,33,32,32,32,31,,,,,,,,
"Whitman College - Washington",33,33,32,32,32,32,32,32,32,32,33,31,32,
"United States Naval Academy - Maryland",33,32,32,,,,,,,,,,,
"University of North Carolina at Chapel Hill - North Carolina",33,33,33,33,33,33,32,32,32,31,31,31,30,31
"Rochester Institute of Technology - New York",33,32,32,32,31,31,31,31,30,30,30,29,29,
"Tulane University of Louisiana - Louisiana",33,33,33,33,32,32,32,32,32,32,31,31,31,31
"University of Washington-Seattle Campus - Washington",33,33,32,32,32,31,31,30,30,30,29,29,29,28
"University of Florida - Florida",33,33,32,32,31,31,31,31,31,30,29,30,29,29
"Southern Methodist University - Texas",33,33,33,32,32,32,31,31,31,31,30,30,29,29
"Rose-Hulman Institute of Technology - Indiana",33,33,33,32,32,32,32,32,32,32,32,31,31,31
"University of Georgia - Georgia",33,32,32,31,31,30,30,30,30,29,29,29,28,28
"Macalester College - Minnesota",33,33,33,32,33,32,32,32,32,32,32,32,32,32
"Connecticut College - Connecticut",33,33,32,,,,,,,,,29,29,29
"University of California-Santa Cruz - California",33,32,32,31,30,30,29,26,27,27,27,27,27,27
"Lehigh University - Pennsylvania",33,33,33,32,32,32,32,32,31,31,,,,
"George Washington University - Washington DC",33,33,32,32,32,31,31,31,31,31,30,30,,
"Colgate University - New York",33,34,34,33,33,33,32,32,32,32,32,32,32,32
"Villanova University - Pennsylvania",33,34,33,33,32,32,31,31,31,31,31,31,31,31
"Union College - New York",33,32,,,,,,31,,,,,,29
"University of Illinois Urbana-Champaign - Illinois",33,32,32,32,32,31,32,31,31,31,31,31,31,31
"University of California-Irvine - California",33,33,33,32,30,29,29,27,27,28,28,27,27,27
"United States Military Academy - New York",33,30,33,28,31,31,31,30,30,31,29,30,30,29
"Lawrence University - Wisconsin",32,32,31,32,31,,,,,,,,,
"University of Miami - Florida",32,32,32,32,32,32,32,32,32,32,31,31,31,31
"Wheaton College - Illinois",32,32,32,32,32,32,32,32,32,32,31,31,31,31
"University of Massachusetts-Amherst - Massachusetts",32,32,31,31,30,30,30,29,28,28,28,27,27,27
"College of the Holy Cross - Massachusetts",32,32,,,,,,,,,,,,
"Rutgers University-New Brunswick - New Jersey",32,32,31,,,,,,,,,,,
"American University - Washington DC",32,31,31,30,31,30,30,30,31,30,30,30,30,30
"Rhode Island School of Design - Rhode Island",32,32,32,31,30,32,32,32,,30,29,29,,
"Clemson University - South Carolina",32,32,32,31,31,31,31,31,30,30,30,30,29,29
"Centre College - Kentucky",32,32,32,31,31,31,31,31,31,31,30,30,30,29
"Clark University - Massachusetts",32,,,,,,,,,,29,28,28,29
"United States Coast Guard Academy - Connecticut",32,30,32,31,30,31,30,30,29,29,30,30,30,29
