"Title:","ACT Composite 75th Percentile Score from the Test Scores - Postsecondary Education Database"
"SubTitle:",""
"Time:","2006 - 2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Center for Education Statistics (2022-09-30). Test Scores - Postsecondary Education: ACT Composite 75th Percentile Score, 2006 - 2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  017-022-008 doi:https://doi.org/10.6068/DP1846849F42F39"
"ColumnCount:",18
"RowCount:",2458

"State University of New York at New Paltz - New York",29,28,29,28,27,27,27,27,26,27,,,26,
"Earlham College - Indiana",29,30,31,30,,,,31,,30,29,29,29,29
"Drury University - Missouri",29,28,29,28,28,29,29,28,30,31,28,28,28,28
"Embry-Riddle Aeronautical University-Prescott - Arizona",29,,,29,,,,29,28,28,28,28,28,27
"The Pennsylvania State University - Pennsylvania",29,,,,,,,,,,,,,
"SUNY College at Geneseo - New York",29,28,28,29,29,29,29,29,30,30,30,30,30,29
"SUNY Polytechnic Institute - New York",29,29,28,28,29,28,28,26,24,25,25,28,25,27
"DePauw University - Indiana",29,30,29,29,29,29,29,29,30,29,29,29,30,29
"CUNY Brooklyn College - New York",29,,,,,,,,,,,,,
"University of Wyoming - Wyoming",28,28,28,27,27,27,27,27,27,27,27,26,26,26
"Virginia Commonwealth University - Virginia",28,28,28,27,27,27,27,26,26,26,25,25,24,23
"SUNY at Albany - New York",28,28,27,26,26,26,26,26,26,26,26,26,26,26
"North Central College - Illinois",28,27,26,27,27,27,27,27,27,27,27,27,27,27
"Bethel University - Minnesota",28,27,28,27,28,27,28,28,28,28,28,28,28,27
"Virginia Military Institute - Virginia",28,28,30,28,28,27,28,27,27,27,27,26,25,25
"Bellarmine University - Kentucky",28,28,28,27,27,27,27,27,27,27,27,26,27,27
"Saint Mary's College of California - California",28,28,27,27,28,27,27,27,27,27,26,,,
"Birmingham-Southern College - Alabama",28,29,29,29,28,29,29,29,29,29,28,28,28,28
"James Madison University - Virginia",28,28,28,28,27,27,27,27,27,27,26,26,26,26
"University of Scranton - Pennsylvania",28,29,28,28,28,28,27,27,26,26,26,,,
"University of Rhode Island - Rhode Island",28,28,27,27,27,26,26,26,26,26,25,24,25,
"Oglethorpe University - Georgia",28,28,27,28,27,28,28,27,26,27,27,27,27,27
"Saint Norbert College - Wisconsin",28,27,27,27,27,27,27,27,27,27,26,26,27,26
"Ohio Northern University - Ohio",28,28,27,28,28,28,29,29,28,29,29,28,29,29
"University of Redlands - California",28,28,28,28,27,28,27,27,27,27,26,26,26,26
"Oklahoma State University-Main Campus - Oklahoma",28,28,28,28,27,27,28,28,28,27,27,27,27,27
"Bradley University - Illinois",28,28,28,28,28,28,28,28,28,28,27,27,27,28
"John Carroll University - Ohio",28,28,28,27,27,28,27,27,27,27,26,26,26,26
"Ave Maria University - Florida",28,28,27,27,27,27,26,26,27,26,26,29,28,29
"Monmouth College - Illinois",28,26,27,25,26,26,25,25,22,25,25,25,26,25
"Tennessee Technological University - Tennessee",28,27,27,28,27,27,27,26,26,26,26,26,25,25
"Xavier University - Ohio",28,28,28,28,28,27,27,27,28,27,28,28,29,29
"Lyon College - Arkansas",28,26,28,28,26,27,27,28,29,28,27,27,27,29
"Louisiana Tech University - Louisiana",28,28,28,27,27,27,27,26,27,26,26,26,25,25
"Emmaus Bible College - Iowa",28,27,25,27,28,26,25,,,,,,,
"Maranatha Baptist University - Wisconsin",28,26,26,25,,,,26,24,24,26,25,24,
"Louisiana State University and Agricultural & Mechanical College - Louisiana",28,29,29,28,28,28,28,28,28,28,28,28,28,27
"Marymount Manhattan College - New York",28,27,27,27,27,26,26,26,27,26,25,25,25,25
"Marymount University - Virginia",28,25,25,24,23,24,24,24,24,23,22,23,24,23
"Maryville College - Tennessee",28,27,29,27,27,26,26,26,26,27,27,28,27,28
"Massachusetts Maritime Academy - Massachusetts",28,24,26,25,26,23,26,24,24,25,25,22,23,22
"Montana State University - Montana",28,27,28,28,28,28,28,27,27,28,27,26,27,26
"McKendree University - Illinois",28,28,28,25,24,24,25,25,25,25,25,24,25,25
"Westminster College - Utah",28,29,27,28,27,27,27,28,27,27,27,27,26,26
"Andrews University - Michigan",28,29,27,29,29,27,27,26,26,26,26,26,26,25
"Western Washington University - Washington",28,28,29,28,28,27,27,28,28,27,27,27,26,26
"Wentworth Institute of Technology - Massachusetts",28,28,27,28,28,27,27,27,26,26,25,,,
"Arcadia University - Pennsylvania",28,28,27,27,28,27,27,27,27,27,27,26,27,26
"Le Moyne College - New York",28,28,28,27,28,25,27,26,26,26,26,25,25,26
"Arizona State University Campus Immersion - Arizona",28,28,29,29,28,28,28,28,27,27,26,26,26,26
"Asbury University - Kentucky",28,28,,28,28,27,28,27,27,27,24,27,27,27
"Augustana University - South Dakota",28,29,28,29,29,28,28,27,28,28,28,28,27,
"Molloy College - New York",28,28,26,27,26,26,26,25,28,28,,,23,
"Whitworth University - Washington",28,29,28,29,29,,,,,,29,29,29,28
"Pace University - New York",28,27,27,27,27,26,26,25,,,,,,26
"Iowa State University - Iowa",28,28,28,28,28,28,29,28,28,28,28,27,27,27
"Regis University - Colorado",28,27,27,26,26,27,27,26,26,27,26,26,24,27
"Simpson University - California",28,23,26,23,24,24,24,23,24,26,24,26,25,24
"University of Louisville - Kentucky",28,29,29,28,29,29,28,28,28,27,27,27,27,27
"Dordt University - Iowa",28,28,28,28,27,29,27,28,28,27,27,27,27,27
"College of Saint Benedict - Minnesota",28,28,27,28,28,27,29,28,29,28,28,28,28,27
"College of Charleston - South Carolina",28,28,28,27,27,28,27,28,26,26,26,26,26,25
"Rowan University - New Jersey",28,28,27,28,27,,27,,,,,,,
"University of Minnesota-Morris - Minnesota",28,28,27,28,28,28,28,28,28,28,28,28,28,27
"Goshen College - Indiana",28,29,27,28,29,27,28,30,28,27,29,28,28,28
"DeSales University - Pennsylvania",28,29,28,27,27,28,27,26,27,26,28,25,22,23
"Hampden-Sydney College - Virginia",28,27,28,27,28,27,26,27,26,27,26,26,26,25
"Robert Morris University - Pennsylvania",28,27,28,27,26,26,24,24,24,25,24,23,24,22
"Roanoke College - Virginia",28,28,27,27,27,27,26,26,25,26,25,25,24,
"University of Houston - Texas",28,27,28,27,28,28,27,27,27,26,25,24,24,24
"Centenary College of Louisiana - Louisiana",28,28,27,28,28,28,28,28,28,27,27,27,27,27
"Randolph-Macon College - Virginia",28,26,27,27,26,27,26,26,26,27,,,24,23
"High Point University - North Carolina",28,28,27,27,26,27,26,26,26,26,25,24,24,23
"Duquesne University - Pennsylvania",28,28,29,29,29,28,28,27,27,27,28,26,26,26
"University of North Carolina at Asheville - North Carolina",28,27,28,28,28,28,28,27,28,27,27,26,26,27
"University of Missouri-Kansas City - Missouri",28,28,28,28,28,28,28,27,27,27,28,27,27,27
"University of Nebraska-Lincoln - Nebraska",28,28,29,29,28,28,28,28,29,28,29,28,28,28
"University of New Haven - Connecticut",28,27,26,27,26,26,26,25,26,26,25,,,
"Saint Mary's College - Indiana",28,28,28,29,28,28,28,28,28,27,28,27,27,27
"George Fox University - Oregon",28,27,27,27,27,27,26,26,27,27,26,26,26,27
"Point Loma Nazarene University - California",28,29,29,28,28,28,28,28,28,28,27,27,27,27
"Thomas Jefferson University - Pennsylvania",27,28,28,,,,,,,,,,,
"Thomas University - Georgia",27,,,,,,,,,,,,,
"The University of Tampa - Florida",27,28,27,27,27,26,27,26,26,25,25,25,25,25
"Saint John Fisher College - New York",27,26,26,26,26,26,27,27,26,27,26,26,25,24
"Trine University - Indiana",27,27,27,28,27,27,27,27,23,23,26,26,26,25
"West Virginia University - West Virginia",27,27,27,27,26,27,26,26,26,26,26,26,26,26
"Webster University - Missouri",27,27,27,26,27,27,27,27,27,27,27,27,28,27
"Milligan University - Tennessee",27,28,28,27,27,28,,,,,,,,
"Millikin University - Illinois",27,27,27,26,26,26,26,26,26,26,25,24,25,26
"Trinity International University-Illinois - Illinois",27,26,25,27,27,26,26,25,27,26,25,26,25,27
"Western Michigan University - Michigan",27,26,26,26,25,25,25,25,25,25,25,25,25,25
"Wisconsin Lutheran College - Wisconsin",27,27,26,26,27,27,26,27,26,27,26,26,27,27
"University of Central Arkansas - Arkansas",27,27,27,27,27,26,26,26,26,26,28,27,27,27
"Martin Luther College - Minnesota",27,28,27,28,27,28,27,27,28,28,27,27,27,27
"William Jewell College - Missouri",27,27,29,28,28,28,28,28,28,28,29,28,28,28
"The University of West Florida - Florida",27,28,27,27,26,26,26,26,25,26,25,25,25,25
"William Carey University - Mississippi",27,28,29,28,27,27,27,28,25,25,28,28,26,24
"MCPHS University - Massachusetts",27,27,28,28,27,26,25,26,26,26,24,24,25,24
"School of Visual Arts - New York",27,27,29,27,26,27,24,26,25,26,24,24,26,26
"University of Colorado Denver/Anschutz Medical Campus - Colorado",27,27,26,27,26,25,25,26,26,25,25,25,25,25
"The University of Texas at Arlington - Texas",27,27,26,27,26,26,26,26,25,25,24,25,25,25
"Wichita State University - Kansas",27,27,26,27,27,26,,26,25,26,26,26,26,25
"Saint Johns University - Minnesota",27,27,28,27,28,28,28,28,28,29,29,28,28,27
"Rockhurst University - Missouri",27,27,27,27,28,28,28,28,28,27,28,28,28,27
"The University of Montana - Montana",27,26,26,26,26,27,26,26,26,26,26,26,25,25
"University of North Dakota - North Dakota",27,26,27,26,26,26,26,26,26,26,25,26,25,26
"Springfield College - Massachusetts",27,27,27,28,28,26,22,25,,,,,,
"University of South Alabama - Alabama",27,27,27,26,26,25,25,26,25,25,24,24,24,24
"Oakland University - Michigan",27,27,28,27,27,26,26,26,26,25,25,25,24,24
"University of Missouri-St Louis - Missouri",27,27,27,27,27,27,27,26,27,26,26,26,26,26
"University of North Carolina at Charlotte - North Carolina",27,26,26,26,26,25,25,25,24,25,24,24,24,24
"Oklahoma Christian University - Oklahoma",27,27,27,27,28,28,28,28,28,28,27,26,26,26
"The College of Saint Scholastica - Minnesota",27,26,26,27,26,26,27,26,26,26,26,25,26,26
"Nova Southeastern University - Florida",27,28,28,28,28,29,29,27,26,25,23,24,23,24
"Oral Roberts University - Oklahoma",27,25,25,26,24,24,25,25,25,25,25,26,25,26
"University of North Carolina Wilmington - North Carolina",27,27,27,27,26,27,26,26,27,26,26,26,24,25
"Palm Beach Atlantic University - Florida",27,26,26,26,27,26,27,26,25,25,26,27,26,25
"Texas Tech University - Texas",27,27,27,27,27,27,27,27,27,27,26,26,26,26
"University of North Texas - Texas",27,27,26,27,26,26,26,26,26,26,25,26,25,26
"Otterbein University - Ohio",27,27,27,27,27,27,26,26,26,26,26,25,25,26
"University of North Florida - Florida",27,25,27,26,26,27,26,26,26,26,24,25,23,23
"Oregon Institute of Technology - Oregon",27,26,26,26,25,26,26,25,,,,,,
"Wayne State University - Michigan",27,27,27,28,27,26,26,26,26,25,23,23,24,23
"Southern Adventist University - Tennessee",27,,,,,,,25,26,25,26,25,25,25
"Southern Illinois University-Carbondale - Illinois",27,28,26,26,25,25,26,25,24,24,24,24,24,24
"Missouri State University-Springfield - Missouri",27,27,26,26,26,26,26,26,26,27,27,27,26,26
"Seattle Pacific University - Washington",27,26,27,27,27,28,28,28,27,28,28,28,27,28
"Spring Arbor University - Michigan",27,27,26,27,25,26,25,26,26,26,26,25,25,25
"University of Detroit Mercy - Michigan",27,28,27,27,27,27,26,28,28,27,26,26,25,25
"Pacific University - Oregon",27,26,27,27,27,26,26,27,26,26,27,28,28,26
"Montana Technological University - Montana",27,26,27,27,26,27,27,27,27,26,26,,25,
"Queens University of Charlotte - North Carolina",27,27,26,26,26,26,26,26,26,25,26,24,24,24
"Southern Virginia University - Virginia",27,26,26,26,26,26,26,26,26,26,25,25,25,25
"Murray State University - Kentucky",27,28,27,27,27,26,26,25,25,25,25,25,25,25
"Southern Utah University - Utah",27,27,27,27,26,27,26,26,26,26,25,24,24,24
"Stockton University - New Jersey",27,26,25,25,24,25,24,24,21,23,23,22,25,25
"Ramapo College of New Jersey - New Jersey",27,27,26,26,26,26,26,26,,,,,,
"University of Washington-Bothell Campus - Washington",27,28,26,26,25,25,24,23,25,25,24,24,24,
"Southern Illinois University-Edwardsville - Illinois",27,26,27,26,26,26,26,25,25,25,25,25,25,25
"University of Illinois Springfield - Illinois",27,26,27,27,26,26,27,27,26,26,26,25,25,27
"Abilene Christian University - Texas",27,28,27,26,27,27,27,27,27,28,27,27,26,27
"University of Hawaii at Manoa - Hawaii",27,26,26,26,26,25,25,27,26,25,23,25,25,25
"Georgia College & State University - Georgia",27,28,27,27,26,27,26,26,26,26,25,25,25,24
"Bridgewater College - Virginia",27,25,26,25,26,27,27,25,22,24,23,24,23,24
"Iona College - New York",27,26,26,25,25,25,25,24,25,24,,,,
"Indiana Wesleyan University-Marion - Indiana",27,26,26,26,27,27,27,27,26,27,27,27,27,26
"Carthage College - Wisconsin",27,27,27,27,27,28,27,27,27,27,26,26,26,26
"Keystone College - Pennsylvania",27,22,,,21,22,22,21,22,20,18,20,19,19
"Elmira College - New York",27,25,,,,,27,27,27,27,27,27,27,27
"Appalachian State University - North Carolina",27,28,28,27,27,28,27,28,26,26,26,26,25,25
"Lewis University - Illinois",27,27,26,26,26,25,25,26,25,25,25,24,24,24
"Dallas Baptist University - Texas",27,26,24,24,25,24,27,27,28,28,22,24,24,23
"Lee University - Tennessee",27,28,28,28,28,27,27,27,28,27,27,27,27,27
"Alfred University - New York",27,26,27,26,26,28,26,27,27,26,27,26,27,27
"Lebanon Valley College - Pennsylvania",27,27,28,26,28,,,27,26,,,,,25
"Carroll College - Montana",27,26,28,28,28,27,28,26,26,27,27,26,26,26
"California State Polytechnic University-Pomona - California",27,27,27,27,27,27,27,26,26,27,25,24,23,23
"Canisius College - New York",27,28,27,28,28,27,27,27,27,27,27,27,26,26
"Concordia College at Moorhead - Minnesota",27,27,27,28,,,28,28,27,28,28,28,27,27
"East Tennessee State University - Tennessee",27,27,27,26,26,26,25,25,25,24,25,24,25,25
"Albion College - Michigan",27,27,26,26,26,27,27,28,27,28,28,27,27,28
"California Lutheran University - California",27,27,26,27,27,27,27,26,27,27,26,27,26,25
"Christian Brothers University - Tennessee",27,27,25,27,27,27,27,27,26,26,27,26,27,27
"Baldwin Wallace University - Ohio",27,27,27,,,,,27,26,27,26,26,26,26
"CUNY Queens College - New York",27,,,,,,,,,,,,,
"Berea College - Kentucky",27,27,27,27,27,26,27,26,27,27,26,25,25,25
"Adelphi University - New York",27,27,27,27,27,25,24,24,28,26,26,26,24,25
"Cleveland Institute of Art - Ohio",27,27,25,26,26,27,26,26,26,25,26,25,29,26
"John Paul the Great Catholic University - California",27,25,29,27,28,28,27,28,,,,,,
"Freed-Hardeman University - Tennessee",27,28,28,28,27,27,27,27,27,26,26,27,26,26
"Linfield University-McMinnville Campus - Oregon",27,26,25,26,24,26,26,26,27,28,27,27,27,27
"Conception Seminary College - Missouri",27,25,25,28,25,29,29,29,25,28,26,28,26,28
"Cornerstone University - Michigan",26,26,26,25,25,25,25,26,26,27,26,25,26,26
"Concordia University-Nebraska - Nebraska",26,26,26,26,27,27,27,27,26,27,28,27,27,28
"Concordia University-Irvine - California",26,25,27,26,26,25,26,25,26,24,25,24,24,24
"Concordia University-Wisconsin - Wisconsin",26,26,26,26,27,26,26,25,25,26,25,26,25,25
"The College of Idaho - Idaho",26,,,,,,27,27,27,27,27,27,27,28
"Oregon State University-Cascades Campus - Oregon",26,27,27,26,28,25,,,,,,,,
"Washington State University - Washington",26,26,26,26,26,26,25,25,25,26,26,26,26,
"North Dakota State University-Main Campus - North Dakota",26,26,26,26,26,26,26,26,26,26,26,25,26,25
"Olivet Nazarene University - Illinois",26,26,26,26,27,27,27,27,27,27,27,26,26,26
"Dakota State University - South Dakota",26,25,26,26,25,25,25,24,24,25,25,24,24,24
"Dominican University of California - California",26,25,25,25,25,25,25,25,25,25,25,25,24,24
"Northern Kentucky University - Kentucky",26,26,26,26,26,26,25,25,24,24,24,23,23,23
"The University of Texas at Tyler - Texas",26,27,27,26,25,25,25,25,25,25,25,25,25,25
"Northland College - Wisconsin",26,,,,,28,26,27,27,27,26,27,28,27
"Augusta University - Georgia",26,26,26,26,26,26,25,23,,,,,,
"Oklahoma Baptist University - Oklahoma",26,26,26,26,26,25,30,27,26,27,26,26,27,27
"The University of Findlay - Ohio",26,26,26,27,25,25,25,26,26,27,26,26,26,25
"Northwestern College - Iowa",26,27,27,27,28,28,27,27,27,27,28,27,27,27
"Ohio University-Main Campus - Ohio",26,26,26,26,26,26,26,26,26,26,26,26,26,26
"Illinois State University - Illinois",26,26,26,26,26,26,26,26,25,26,26,26,26,26
"The University of Tennessee-Chattanooga - Tennessee",26,26,27,26,26,26,26,25,25,25,25,23,24,24
"The University of Tennessee-Martin - Tennessee",26,26,26,25,25,25,25,25,24,24,25,25,24,24
"Jacksonville University - Florida",26,25,27,27,,,,24,25,26,25,24,23,23
"Walsh University - Ohio",26,26,26,26,25,,25,25,25,24,24,24,25,24
"Wilkes University - Pennsylvania",26,26,27,26,25,,,,,,,,,
"SUNY College at Oswego - New York",26,26,26,27,27,26,26,26,26,25,25,25,25,25
"Eastern Michigan University - Michigan",26,25,23,25,25,25,25,24,24,23,23,24,24,24
"Rider University - New Jersey",26,26,25,26,24,25,25,25,25,24,24,24,24,21
"Florida Atlantic University - Florida",26,26,25,26,25,25,25,24,25,25,25,23,23,23
"Westminster College - Missouri",26,25,25,26,26,26,27,27,27,27,28,28,28,27
"Roberts Wesleyan College - New York",26,26,27,27,24,26,26,25,27,29,27,27,25,25
"Graceland University-Lamoni - Iowa",26,24,23,23,24,24,23,24,24,25,23,25,24,24
"Grace College and Theological Seminary - Indiana",26,,27,27,27,27,27,26,27,24,28,27,28,27
"Roosevelt University - Illinois",26,27,26,25,24,25,25,25,25,25,25,25,25,25
"Simpson College - Iowa",26,25,25,27,27,27,27,27,27,26,27,27,27,26
"Rosemont College - Pennsylvania",26,22,23,20,20,20,27,23,22,,,,,
"Shenandoah University - Virginia",26,26,26,26,25,25,24,26,27,24,23,23,23,24
"Western Colorado University - Colorado",26,26,25,25,25,23,24,24,24,24,24,24,23,23
"San Jose State University - California",26,27,26,26,25,26,25,25,24,25,24,23,23,23
"Saint Vincent College - Pennsylvania",26,27,26,26,26,26,25,25,26,25,26,24,26,25
"Western Kentucky University - Kentucky",26,27,27,27,26,26,26,25,24,24,24,,24,
"Saint Francis University - Pennsylvania",26,26,26,27,27,26,25,25,25,26,27,27,26,22
"Georgia State University - Georgia",26,26,26,26,26,25,24,25,25,26,24,25,24,24
"Gannon University - Pennsylvania",26,26,26,26,26,25,25,26,25,25,26,25,25,24
"South Dakota State University - South Dakota",26,26,26,26,26,26,26,25,25,25,26,25,25,25
"Widener University - Pennsylvania",26,25,26,25,26,25,24,,,,,,,
"Fisk University - Tennessee",26,24,23,22,22,23,23,18,22,24,22,22,25,23
"Hamline University - Minnesota",26,26,27,26,27,28,27,27,27,27,27,28,27,27
"SUNY Maritime College - New York",26,28,27,26,27,26,26,26,25,25,24,23,22,
"SUNY Cortland - New York",26,26,25,25,25,,,25,25,24,24,24,,
"Howard University - Washington DC",26,27,27,28,28,27,27,26,26,25,29,29,28,29
"SUNY at Fredonia - New York",26,25,27,26,27,26,26,26,25,26,26,26,26,26
"Point Park University - Pennsylvania",26,26,25,25,26,25,24,25,26,25,24,24,24,24
"Arkansas State University - Arkansas",26,27,27,26,26,26,26,26,25,26,24,24,24,24
"Suffolk University - Massachusetts",26,26,26,26,25,26,27,25,24,25,24,24,24,
"Aquinas College - Michigan",26,26,26,27,26,26,26,26,26,26,26,26,25,25
"Elizabethtown College - Pennsylvania",26,28,28,27,28,28,28,28,27,27,27,25,,
"Elmhurst University - Illinois",26,26,26,26,26,26,26,26,26,26,27,26,26,26
"Wesleyan College - Georgia",26,22,22,24,26,,,22,22,25,25,28,25,25
"St. Mary's University - Texas",26,26,27,26,25,25,24,24,25,25,25,25,25,24
"St. Joseph's University-New York - New York",26,25,26,22,25,24,25,25,25,25,22,,,23
"Hastings College - Nebraska",26,24,25,25,26,26,27,26,26,26,27,26,26,26
"University of Wisconsin-La Crosse - Wisconsin",26,27,27,26,27,26,27,26,27,26,27,26,26,27
"Faith Baptist Bible College and Theological Seminary - Iowa",26,,25,25,25,25,24,25,25,25,25,25,21,25
"West Chester University of Pennsylvania - Pennsylvania",26,26,26,26,25,26,26,,,,,,,
"Ferris State University - Michigan",26,25,26,25,25,24,24,24,24,24,24,24,24,24
"Johnson University Florida - Florida",26,21,21,21,23,22,22,24,20,26,,,21,
"Trinity Christian College - Illinois",26,27,25,26,27,27,27,25,26,27,29,27,26,26
"Loyola University New Orleans - Louisiana",26,28,28,28,29,28,28,28,27,29,29,28,28,28
"Carroll University - Wisconsin",26,26,26,26,26,26,26,26,26,26,26,26,26,25
"Monmouth University - New Jersey",26,27,25,26,25,25,25,25,26,25,26,24,24,25
"University of Northern Colorado - Colorado",26,26,25,25,25,25,25,24,24,25,25,25,24,24
"University of Mary - North Dakota",26,26,25,26,26,26,25,25,26,25,25,25,25,25
"Boston Baptist College - Massachusetts",26,22,24,20,19,18,,,,,24,,19,21
"Marywood University - Pennsylvania",26,29,26,26,,,,,,26,,,,
"Bowling Green State University-Main Campus - Ohio",26,24,24,24,24,24,24,24,24,24,24,24,24,24
"University of Massachusetts-Dartmouth - Massachusetts",26,25,26,26,26,25,25,25,25,25,,24,23,24
"University of Memphis - Tennessee",26,26,26,25,25,25,25,25,25,25,24,25,25,24
"Young Harris College - Georgia",26,23,23,25,25,23,,24,,,,,,
"University of Minnesota-Duluth - Minnesota",26,26,26,26,26,26,26,26,26,26,26,26,25,25
"University of Minnesota-Rochester - Minnesota",26,26,26,26,27,26,26,27,26,27,25,,,
"Lake Superior State University - Michigan",26,25,25,25,25,25,25,25,25,24,24,24,24,24
"California State University-Long Beach - California",26,26,26,26,26,26,25,24,25,25,24,23,23,23
"University of Montevallo - Alabama",26,25,27,26,26,26,26,26,26,26,25,23,24,24
"University of Nebraska at Kearney - Nebraska",26,26,26,25,25,25,25,25,25,25,25,25,25,25
"Millsaps College - Mississippi",26,26,28,28,28,28,29,28,29,29,29,29,29,29
"University of Nebraska at Omaha - Nebraska",26,26,26,26,26,26,26,26,26,25,26,26,26,25
"University of Nevada-Reno - Nevada",26,26,26,26,26,26,26,26,26,26,26,25,25,25
"Bridgewater State University - Massachusetts",26,25,25,24,24,24,24,24,22,24,24,23,23,24
"York College of Pennsylvania - Pennsylvania",26,25,26,25,25,25,25,25,24,25,24,25,24,
"Middle Tennessee State University - Tennessee",26,26,26,25,25,25,25,24,24,24,25,24,24,24
"Brigham Young University-Hawaii - Hawaii",26,27,26,26,26,26,27,26,25,26,26,26,27,26
"Mercy College - New York",26,24,,,,,,,,,,,,
"University of Northern Iowa - Iowa",26,26,26,26,25,25,25,24,25,26,26,26,26,26
"Boise State University - Idaho",26,26,26,26,26,26,26,26,25,25,25,24,24,26
"University of Idaho - Idaho",26,27,26,26,27,26,27,26,26,26,26,26,25,26
"University of Louisiana at Lafayette - Louisiana",26,26,28,26,26,25,25,25,25,24,24,24,24,25
"Kent State University at Kent - Ohio",26,26,25,25,25,25,25,25,25,25,24,24,24,24
"Niagara University - New York",26,27,26,26,25,25,25,25,25,25,25,24,25,25
"University of Alaska Fairbanks - Alaska",26,25,25,25,26,26,,,,,25,24,24,25
"Lycoming College - Pennsylvania",26,24,24,25,25,25,26,26,26,26,25,27,26,24
"University of Wisconsin-Eau Claire - Wisconsin",26,26,26,26,26,26,26,26,26,26,26,26,26,26
"Benedictine University - Illinois",26,25,25,25,,,25,25,24,25,25,26,24,25
"University of Toledo - Ohio",26,26,26,26,26,26,25,25,,,,,,
"University of St Francis - Illinois",26,27,26,25,26,25,25,25,25,25,26,24,25,25
"University of Southern Mississippi - Mississippi",26,26,25,26,26,26,25,27,25,25,24,24,24,24
"Marion Military Institute - Alabama",26,26,26,26,26,26,25,26,26,26,24,25,24,
"Brigham Young University-Idaho - Idaho",26,25,26,25,25,25,25,25,25,25,25,26,27,25
"Citadel Military College of South Carolina - South Carolina",26,25,25,25,25,25,25,25,25,23,22,24,23,24
"Central Michigan University - Michigan",26,26,27,27,25,25,25,24,25,25,25,24,24,24
"University of Wisconsin-Platteville - Wisconsin",26,26,26,26,26,26,26,25,25,25,25,25,24,25
"Mount Vernon Nazarene University - Ohio",26,25,25,25,25,25,25,26,27,26,25,27,25,25
"St. Thomas Aquinas College - New York",25,23,25,23,22,22,22,20,25,23,24,23,22,22
"Florida College - Florida",25,27,26,27,26,25,26,26,25,29,25,26,26,26
"Slippery Rock University of Pennsylvania - Pennsylvania",25,24,25,24,23,24,24,23,23,24,24,23,23,23
"Western Carolina University - North Carolina",25,25,25,24,25,24,24,24,24,24,23,23,22,22
"Belmont Abbey College - North Carolina",25,26,24,24,24,25,24,24,24,26,28,,23,26
"University of Wisconsin-River Falls - Wisconsin",25,25,25,25,25,25,25,24,24,24,24,24,24,25
"Florida Gulf Coast University - Florida",25,25,25,25,26,26,25,24,23,23,23,23,23,23
"Spring Hill College - Alabama",25,25,25,26,27,27,27,27,26,26,26,26,26,26
"Spelman College - Georgia",25,26,26,26,26,23,24,24,24,24,24,25,24,25
"Brescia University - Kentucky",25,26,25,23,26,24,25,24,25,24,24,23,24,24
"Southwest Baptist University - Missouri",25,25,25,26,25,26,26,26,26,26,26,26,26,26
"School of the Art Institute of Chicago - Illinois",25,29,28,30,27,28,28,28,27,27,27,26,,25
"University of Pittsburgh-Bradford - Pennsylvania",25,25,25,24,23,23,24,23,23,24,23,22,24,23
"Franklin College - Indiana",25,25,25,25,25,24,25,24,24,25,24,25,23,23
"University of Pittsburgh-Johnstown - Pennsylvania",25,24,26,25,25,25,24,24,24,23,24,22,22,23
"University of Wisconsin-Stout - Wisconsin",25,25,25,25,25,24,25,24,24,24,23,23,23,23
"University of Southern Maine - Maine",25,25,25,25,25,25,24,25,24,22,23,24,23,23
"Framingham State University - Massachusetts",25,25,23,24,25,23,24,25,25,25,23,,,
"University of Southern Indiana - Indiana",25,25,25,25,25,24,24,24,24,24,23,23,23,23
"Southern Oregon University - Oregon",25,25,25,26,25,26,25,,25,25,,,25,25
"Sierra Nevada University - Nevada",25,22,23,24,22,27,27,,,23,23,23,23,25
"University of South Dakota - South Dakota",25,25,25,25,25,25,25,26,26,26,25,25,25,25
"Flagler College - Florida",25,,26,26,26,26,25,25,25,26,24,25,25,26
"Southern Arkansas University Main Campus - Arkansas",25,24,24,25,24,24,24,24,24,25,24,24,23,23
"University of Saint Francis-Fort Wayne - Indiana",25,25,24,24,24,24,24,23,23,24,24,23,24,23
"SUNY Brockport - New York",25,24,25,25,25,25,25,26,25,25,25,27,25,25
"Sterling College - Kansas",25,23,23,22,23,24,24,25,25,25,24,23,23,24
"Central Connecticut State University - Connecticut",25,23,24,24,24,24,23,25,23,22,,,,
"Wartburg College - Iowa",25,26,26,27,26,27,27,26,26,26,27,27,26,27
"University of Connecticut-Hartford Campus - Connecticut",25,25,27,25,,,,,,,,,,
"The University of Texas at San Antonio - Texas",25,25,25,25,25,25,25,25,24,24,24,23,23,23
"Clarke University - Iowa",25,23,23,25,25,25,24,25,25,25,26,26,25,24
"University of Central Missouri - Missouri",25,25,24,25,25,24,24,24,23,24,23,24,24,24
"CUNY John Jay College of Criminal Justice - New York",25,,,,,,,,,,,,,
"Cleveland State University - Ohio",25,25,25,25,25,25,24,25,24,24,23,23,23,22
"Towson University - Maryland",25,25,25,25,25,25,25,25,25,25,24,24,,
"Trevecca Nazarene University - Tennessee",25,26,25,26,25,25,26,26,26,24,25,25,25,25
"Coastal Carolina University - South Carolina",25,24,24,24,25,24,23,23,22,21,23,22,22,23
